chemin, class, class_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/StandardChartThemeTest.java, StandardChartThemeTest.java, 236, 76, 0.3220338983050847, 1, 0.3220338983050847
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest.java, ChartRenderingInfoTest.java, 117, 52, 0.4444444444444444, 1, 0.4444444444444444
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/TestUtils.java, TestUtils.java, 171, 69, 0.40350877192982454, 1, 0.40350877192982454
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/StackedBarChartTest.java, StackedBarChartTest.java, 163, 71, 0.43558282208588955, 1, 0.43558282208588955
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/XYLineChartTest.java, XYLineChartTest.java, 153, 69, 0.45098039215686275, 1, 0.45098039215686275
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java, GanttChartTest.java, 266, 92, 0.3458646616541353, 1, 0.3458646616541353
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/LegendItemTest.java, LegendItemTest.java, 315, 58, 0.18412698412698414, 1, 0.18412698412698414
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/XYBarChartTest.java, XYBarChartTest.java, 156, 69, 0.4423076923076923, 1, 0.4423076923076923
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/LegendItemCollectionTest.java, LegendItemCollectionTest.java, 109, 53, 0.48623853211009177, 1, 0.48623853211009177
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest.java, XYStepChartTest.java, 164, 76, 0.4634146341463415, 1, 0.4634146341463415
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/PieChartTest.java, PieChartTest.java, 104, 66, 0.6346153846153846, 1, 0.6346153846153846
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/AreaChartTest.java, AreaChartTest.java, 167, 71, 0.4251497005988024, 1, 0.4251497005988024
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/WaterfallChartTest.java, WaterfallChartTest.java, 125, 60, 0.48, 1, 0.48
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/StackedAreaChartTest.java, StackedAreaChartTest.java, 161, 71, 0.4409937888198758, 1, 0.4409937888198758
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/ScatterPlotTest.java, ScatterPlotTest.java, 153, 69, 0.45098039215686275, 1, 0.45098039215686275
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/XYAreaChartTest.java, XYAreaChartTest.java, 152, 69, 0.45394736842105265, 1, 0.45394736842105265
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/BarChartTest.java, BarChartTest.java, 165, 72, 0.43636363636363634, 1, 0.43636363636363634
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/MeterChartTest.java, MeterChartTest.java, 69, 47, 0.6811594202898551, 1, 0.6811594202898551
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/TimeSeriesChartTest.java, TimeSeriesChartTest.java, 153, 69, 0.45098039215686275, 1, 0.45098039215686275
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/JFreeChartTest.java, JFreeChartTest.java, 409, 115, 0.28117359413202936, 1, 0.28117359413202936
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/LineChartTest.java, LineChartTest.java, 162, 73, 0.4506172839506173, 1, 0.4506172839506173
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/XYStepAreaChartTest.java, XYStepAreaChartTest.java, 152, 69, 0.45394736842105265, 1, 0.45394736842105265
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendGraphicTest.java, LegendGraphicTest.java, 196, 69, 0.3520408163265306, 1, 0.3520408163265306
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/LegendTitleTest.java, LegendTitleTest.java, 135, 51, 0.37777777777777777, 1, 0.37777777777777777
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java, PaintScaleLegendTest.java, 154, 60, 0.38961038961038963, 1, 0.38961038961038963
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java, DynamicDriveToolTipTagFragmentGeneratorTest.java, 61, 45, 0.7377049180327869, 1, 0.7377049180327869
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java, StandardURLTagFragmentGeneratorTest.java, 60, 47, 0.7833333333333333, 1, 0.7833333333333333
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java, ImageMapUtilsTest.java, 107, 48, 0.4485981308411215, 1, 0.4485981308411215
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java, OverLIBToolTipTagFragmentGeneratorTest.java, 61, 45, 0.7377049180327869, 1, 0.7377049180327869
